Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-5011,"Locke",2013,Drama,Steven Knight,Charles Auty,Dickon Hinchliffe,Steven Knight,Solopan
movie-5012,"Logan's Run",1976,Action,Michael Anderson,Hugh Benson,Jerry Goldsmith,David Zelag Goodman,Metro-Goldwyn-Mayer (MGM)
movie-5013,"Loggerheads",2005,Drama,Tim Kirkman,Les Franck,Mark Geary,Caitlin Dixon,Strand Releasing
movie-5014,"Loin des hommes",2014,Drama,David Oelhoffen,B?n?dicte Bellocq,Nick Cave,Albert Camus,Arsenal Filmverleih
movie-5015,"Lois & Clark: The New Adventures of Superman",1993,Adventure,Philip Sgriccia,Philip Sgriccia,Jay Gruska,Deborah Joy LeVine,Warner Bros. Television
movie-5016,"LOL",2012,Comedy,Lisa Azuelos,Lisa Azuelos,Rob Simonsen,Lisa Azuelos,Golden Village Pictures
movie-5017,"Lola Mont?s",1955,Biography,Max Oph?ls,Albert Caraco,Georges Auric,C?cil Saint-Laurent,Gamma Film
movie-5018,"Lola rennt",1998,Crime,Tom Tykwer,Stefan Arndt,Reinhold Heil,Tom Tykwer,Bavaria Film International
movie-5019,"Lolita",1997,Drama,Adrian Lyne,Mario Kassar,Ennio Morricone,Vladimir Nabokov,AMLF
movie-5020,"London 2012 Olympic Opening Ceremony: Isles of Wonder",2012,Sport,Danny Boyle,Stephen Daldry,Rick Smith,Danny Boyle,BBC One
movie-5021,"London River",2009,Drama,Rachid Bouchareb,Rachid Bouchareb,Armand Amar,Rachid Bouchareb,Filmarti
movie-5022,"London to Brighton",2006,Crime,Paul Andrew Williams,Tony Bolton,Laura Rossi,Paul Andrew Williams,Ascot Elite Entertainment Group
movie-5023,"Lone Star",1996,Drama,John Sayles,Jan Foster,Mason Daring,John Sayles,Filmayer
movie-5024,"Lone Survivor",2013,Action,Peter Berg,Braden Aftergood,Explosions in the Sky,Peter Berg,MG Film
movie-5025,"Lonely Are the Brave",1962,Drama,David Miller,Edward Lewis,Jerry Goldsmith,Dalton Trumbo,Universal Pictures
movie-5026,"Lonesome",1928,Comedy,P?l Fej?s,Carl Laemmle Jr,Joseph Cherniavsky,Mann Page,Universal Pictures
movie-5027,"Lonesome Dove",1989,Adventure,Simon Wincer,Suzanne De Passe,Basil Poledouris,Larry McMurtry,Sonar Entertainment (II)
movie-5028,"Lonesome Ghosts",1937,Comedy,Burt Gillett,Walt Disney,Albert Hay Malotte,Dick Friel,RKO Radio Pictures
movie-5029,"Lonesome Jim",2005,Comedy,Steve Buscemi,Jake Abraham,Evan Lurie,James C. Strouse,Dream Entertainment
movie-5030,"Long Day's Journey Into Night",1962,Drama,Sidney Lumet,Jack J. Dreyfus Jr,Andr? Previn,Eugene O'Neill,Embassy Pictures
movie-5031,"Long Gone",1987,Comedy,Martin Davidson,Joan Barnett,Phillip Namanworth,Paul Hemphill,Audio Visual Enterprises
movie-5032,"Long Way Round",2004,Documentary,David Alexanian,Alexis Alexanian,Rupert Gregson-Williams,David Alexanian,British Sky Broadcasting (BSkyB)
movie-5033,"Long xiong hu di",1986,Action,Jackie Chan,Lam Chua,Siu-Tin Lai,Barry Wong,Golden Harvest
movie-5034,"Long-Haired Hare",1949,Family,Chuck Jones,<none>,Carl W. Stalling,Michael Maltese,Warner Bros.
movie-5035,"Longford",2006,Biography,Tom Hooper,Helen Flint,Rob Lane,Peter Morgan,Home Box Office (HBO)
movie-5036,"Longitude",2000,Drama,Charles Sturridge,Pippa Cross,Geoffrey Burgon,Dava Sobel,A&E Home Video
movie-5037,"Longmire",2012,Action,Christopher Chulack,Hunt Baldwin,David Shephard,Hunt Baldwin,A&E Television Networks
movie-5038,"Longtime Companion",1989,Drama,Norman Ren?,Lydia Dean Pilcher,Greg De Belles,Craig Lucas,Samuel Goldwyn Company
movie-5039,"Look Around You",2002,Comedy,Tim Kirkby,Karen Beever,Robert Popper,Robert Popper,British Broadcasting Corporation (BBC)
movie-5040,"Look Back in Anger",1959,Drama,Tony Richardson,Harry Saltzman,Chris Barber,Nigel Kneale,Associated British-Path?
movie-5041,"Look Both Ways",2005,Drama,Sarah Watt,Bridget Ikin,Amanda Brown,Sarah Watt,1More Film
movie-5042,"Look, Up in the Sky! The Amazing Story of Superman",2006,Documentary,Kevin Burns,Kevin Burns,Todd Erickson,James Grant Goldin,Warner Bros.
movie-5043,"Looking",2014,Comedy,Andrew Haigh,Sarah Condon,David Stone Hamilton,Michael Lannan,Home Box Office (HBO)
movie-5044,"Looking for Alibrandi",2000,Comedy,Kate Woods,Robyn Kershaw,Alan John,Melina Marchetta,Beyond Distribution Pty. Ltd.
movie-5045,"Looking for Eric",2009,Comedy,Ken Loach,Eric Cantona,George Fenton,Paul Laverty,BIM Distribuzione
movie-5046,"Looking for Mr. Goodbar",1977,Drama,Richard Brooks,Freddie Fields,Artie Kane,Judith Rossner,Cinema International Corporation (CIC)
movie-5047,"Looking for Richard",1996,Documentary,Al Pacino,James Bulleit,Howard Shore,William Shakespeare,Columbia TriStar Films
movie-5048,"Looney, Looney, Looney Bugs Bunny Movie",1981,Family,Friz Freleng,Friz Freleng,Milt Franklyn,John W. Dunn,Warner Bros.
movie-5049,"Looper",2012,Action,Rian Johnson,Ram Bergman,Nathan Johnson,Rian Johnson,Alliance Films
movie-5050,"Loose Change 9/11: An American Coup",2009,Documentary,Dylan Avery,Joel S. Bachar,Mic Cartier,Dylan Avery,Microcinema International
movie-5051,"Lord Jim",1965,Adventure,Richard Brooks,Richard Brooks,Bronislau Kaper,Joseph Conrad,Columbia Pictures
movie-5052,"Lord of War",2005,Crime,Andrew Niccol,Artemio Benki,Antonio Pinto,Andrew Niccol,Lions Gate Films
movie-5053,"Lord of the Flies",1990,Adventure,Harry Hook,Lewis M. Allen,Philippe Sarde,William Golding,Columbia Pictures
movie-5054,"Lords of Dogtown",2005,Biography,Catherine Hardwicke,Beanie Barnes,Mark Mothersbaugh,Stacy Peralta,Sony Pictures Entertainment (SPE)
movie-5055,"Lore",2012,Drama,Cate Shortland,Benny Drechsel,Max Richter,Cate Shortland,Artificial Eye
movie-5056,"Lorna Doone",2000,Drama,Mike Barker,Delia Fine,John Lunn,R.D. Blackmore,A&E Television Networks
movie-5057,"Serrano, Los",2003,Comedy,Bego?a ?lvarez Rojas,Daniel ?cija,Manel Santisteban,?lex Pina,Telecinco
movie-5058,"abrazos rotos, Los",2009,Drama,Pedro Almod?var,Agust?n Almod?var,Alberto Iglesias,Pedro Almod?var,ACME
movie-5059,"cronocr?menes, Los",2007,Horror,Nacho Vigalondo,Sergio Barrej?n,Eugenio Mira,Nacho Vigalondo,Magnolia Pictures
movie-5060,"lunes al sol, Los",2002,Comedy,Fernando Le?n de Aranoa,Andrea Occhipinti,Lucio Godoy,Fernando Le?n de Aranoa,Alfa Films
movie-5061,"ojos de Julia, Los",2010,Horror,Guillem Morales,Juan Carlos Caro,Fernando Vel?zquez,Guillem Morales,Cinema Mondo
movie-5062,"olvidados, Los",1950,Crime,Luis Bu?uel,?scar Dancigers,Rodolfo Halffter,Luis Alcoriza,Arthur Mayer-Edward Kingsley
movie-5063,"santos inocentes, Los",1984,Drama,Mario Camus,Juli?n Mateos,Ant?n Garc?a Abril,Mario Camus,Toei Classic
movie-5064,"viajes del viento, Los",2009,Drama,Ciro Guerra,Diana Bustamante,Iv?n Ocampo,Ciro Guerra,Film Movement
movie-5065,"Losejas",2013,Drama,Ignas Jonynas,Uljana Kim,Paulius Kilbauskas,Ignas Jonynas,ASC Distribution
movie-5066,"Lost",2004,Adventure,Jack Bender,Bryan Burk,Michael Giacchino,J.J. Abrams,American Broadcasting Company (ABC)
movie-5067,"Lost Girl",2010,Drama,Steve DiMarco,Emily Andras,Benjamin Pinkerton,Michelle Lovretta,AXN
movie-5068,"Lost Highway",1997,Drama,David Lynch,Deepak Nayar,Angelo Badalamenti,David Lynch,Rialto Film AG
movie-5069,"Lost Horizon",1937,Adventure,Frank Capra,Frank Capra,Dimitri Tiomkin,Robert Riskin,Columbia Pictures
movie-5070,"Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau",2014,Documentary,David Gregory,Chris Alexander,Mark Raskin,David Gregory,CineBinario Films (CBF)
movie-5071,"Lost and Delirious",2001,Drama,L?a Pool,Greg Dummett,Yves Chamberland,Susan Swan,Lions Gate Films
movie-5072,"Big Fat Liar",2002,Adventure,Shawn Levy,Marie Cantin,Christophe Beck,Dan Schneider,Universal Pictures
movie-5073,"Lost in Alaska",1952,Comedy,Jean Yarbrough,Howard Christie,Henry Mancini,Elwood Ullman,Universal Pictures
movie-5074,"Lost in America",1985,Comedy,Albert Brooks,Marty Katz,Arthur B. Rubinstein,Albert Brooks,Roadshow Distributors
movie-5075,"Lost in Austen",2008,Drama,Dan Zeff,Guy Andrews,Christian Henson,Guy Andrews,Granada Television International
movie-5076,"Lost in La Mancha",2002,Documentary,Keith Fulton,Rosa Bosch,Miriam Cutler,Keith Fulton,Optimum Releasing
movie-5077,"Lost in Space",1998,Action,Stephen Hopkins,Chris Carreras,Bruce Broughton,Irwin Allen,New Line Cinema
movie-5078,"Lost in Translation",2003,Drama,Sofia Coppola,Francis Ford Coppola,Kevin Shields,Sofia Coppola,Focus Features
movie-5079,"Loufa kai parallagi",1984,Comedy,Nicos Perakis,Nicos Perakis,Nikos Mamangakis,Nicos Perakis,Spentzos Films
movie-5080,"Louie",2010,Comedy,Louis C.K.,Dave Becky,Maxfield Gast,Louis C.K,FX Network
movie-5081,"Louis Cyr",2013,Biography,Daniel Roby,Nicole Hilar?guy,Jorane,Sylvain Guy,Christal Films
movie-5082,"Love & Basketball",2000,Drama,Gina Prince-Bythewood,Andrew Z. Davis,Terence Blanchard,Gina Prince-Bythewood,New Line Cinema
movie-5083,"Love & Mercy",2014,Biography,Bill Pohlad,Jim Lefkowitz,Atticus Ross,Oren Moverman,Ascot Elite Entertainment Group
movie-5084,"Love & Other Drugs",2010,Comedy,Edward Zwick,Pieter Jan Brugge,James Newton Howard,Charles Randolph,Twentieth Century Fox Film Corporation
movie-5085,"Love Aaj Kal",2009,Comedy,Imtiaz Ali,Preetam Chowdhury,Pritam Chakraborty,Imtiaz Ali,Eros International
movie-5086,"Love Actually",2003,Comedy,Richard Curtis,Tim Bevan,Craig Armstrong,Richard Curtis,Universal Pictures
movie-5087,"Love Affair",1994,Comedy,Glenn Gordon Caron,Warren Beatty,Ennio Morricone,Mildred Cram,Warner Bros.
movie-5088,"Love Among the Ruins",1975,Drama,George Cukor,Allan Davis,John Barry,James Costigan,American Broadcasting Company (ABC)
movie-5089,"Love Bites",2011,Comedy,Marc Buckland,Tim Bevan,Danny Lux,Cindy Chupack,National Broadcasting Company (NBC)
movie-5090,"Love Comes Softly",2003,Romance,Michael Landon Jr.,Kevin Bocarde,William Ashford,Cindy Kelley,Hallmark Channel
movie-5091,"Love Crazy",1941,Comedy,Jack Conway,Pandro S. Berman,David Snell,William Ludwig,Metro-Goldwyn-Mayer (MGM)
movie-5092,"Love Jones",1997,Drama,Theodore Witcher,Michael Caldwell,Wyclef Jean,Theodore Witcher,New Line Cinema
movie-5093,"Love Liza",2002,Comedy,Todd Louiso,Ruth Charny,Jim O'Rourke,Gordy Hoffman,Angel Films
movie-5094,"Love Me Tonight",1932,Comedy,Rouben Mamoulian,Rouben Mamoulian,John Leipold,Samuel Hoffenstein,Paramount Pictures
movie-5095,"Love Monkey",2006,Comedy,Tamra Davis,Nic Harcourt,Didier Rachou,Michael Rauch,Columbia Broadcasting System (CBS)
movie-5096,"Love My Way",2004,Drama,Jessica Hobbs,Kim Vecera,Stephen Rae,Jacquelin Perske,FOXTEL
movie-5097,"Love Story",1970,Drama,Arthur Hiller,David Golden,Francis Lai,Erich Segal,Paramount Pictures
movie-5098,"Love Streams",1984,Comedy,John Cassavetes,Yoram Globus,Bo Harwood,Ted Allan,Cannon Film Distributors Ltd.
movie-5099,"Love and Death on Long Island",1997,Comedy,Richard Kwietniowski,Steve Clark-Hall,Richard Grassby-Lewis,Gilbert Adair,Cin?pix Film Properties
movie-5100,"Love with the Proper Stranger",1963,Comedy,Robert Mulligan,Alan J. Pakula,Elmer Bernstein,Arnold Schulman,Paramount Pictures
movie-5101,"Love! Valour! Compassion!",1997,Comedy,Joe Mantello,Doug Chapin,Harold Wheeler,Terrence McNally,Fine Line Features
movie-5102,"Love's Enduring Promise",2004,Drama,Michael Landon Jr.,H. Daniel Gross,Kevin Kiner,Cindy Kelley,Hallmark Channel
movie-5103,"Love's Long Journey",2005,Drama,Michael Landon Jr.,Brian Gordon,Kevin Kiner,Douglas Lloyd McIntosh,Hallmark Channel
movie-5104,"Love, Marilyn",2012,Documentary,Liz Garbus,Stanley F. Buchthal,Philip Sheppard,Truman Capote,Showgate
movie-5105,"Love, Rosie",2014,Comedy,Christian Ditter,Simon Brooks,Ralf Wengenmayr,Juliette Towhidi,Big Bang Media
movie-5106,"Love.net",2011,Drama,Ilian Djevelekov,Georgi Dimitrov,Petko Manchev,Nelly Dimitrova,Alexandra Films
movie-5107,"Love/Hate",2010,Crime,David Caffrey,Suzanne McAuley,Ray Harman,Stuart Carolan,Radio Telef?s ?ireann (RT?)
movie-5108,"Lovejoy",1986,Comedy,Baz Taylor,Allan McKeown,Denis King,Jonathan Gash,British Broadcasting Corporation (BBC)
movie-5109,"Lovely & Amazing",2001,Comedy,Nicole Holofcener,Anthony Bregman,Craig Richey,Nicole Holofcener,Lions Gate Films
movie-5110,"Lovely, Still",2008,Drama,Nicholas Fackler,Dana Altman,Mike Mogis,Nicholas Fackler,Comstock Group
movie-5111,"Lover Come Back",1961,Comedy,Delbert Mann,Robert Arthur,Frank De Vol,Stanley Shapiro,Universal Pictures
movie-5112,"Loving Annabelle",2006,Drama,Katherine Brooks,Olivia Bohnhoff,Marc Dold,Olivia Bohnhoff,Homescreen
movie-5113,"Loving Leah",2009,Drama,Jeff Bleckner,Larry Y. Albucher,Jeff Beal,Pnenah Goldstein,Columbia Broadcasting System (CBS)
movie-5114,"Low Winter Sun",2013,Crime,Ernest R. Dickerson,Charles S. Carroll,Tyler Bates,Simon Donald,American Movie Classics (AMC)
movie-5115,"Lu ding ji",1992,Action,Jing Wong,Jimmy Heung,Wai Lap Wu,Jing Wong,Golden Harvest Company
movie-5116,"Lu ding ji II: Zhi shen long jiao",1992,Comedy,Jing Wong,Jing Wong,Wai Lap Wu,Louis Cha,Golden Harvest Company
movie-5117,"Lucas",1986,Comedy,David Seltzer,David Nicksay,Dave Grusin,David Seltzer,Twentieth Century Fox Film Corporation
movie-5118,"Luci del variet?",1950,Drama,Federico Fellini,Federico Fellini,Felice Lattuada,Federico Fellini,Criterion Collection
movie-5119,"Lucia de B.",2014,Drama,Paula van der Oest,Klara Bj?rk,Adam Nord?n,Moniek Kramer,Independent Films
movie-5120,"Luck",2011,Drama,Allen Coulter,Henry Bronchtein,Gary Lionelli,David Milch,Home Box Office (HBO)
movie-5121,"Luck by Chance",2009,Drama,Zoya Akhtar,Farhan Akhtar,Shankar Mahadevan,Zoya Akhtar,Reliance Big Pictures
movie-5122,"Lucky Louie",2006,Comedy,Andrew D. Weyman,Dave Becky,Mark Rivers,Louis C.K,Home Box Office (HBO)
movie-5123,"Lucky Number Slevin",2006,Crime,Paul McGuigan,Jane Barclay,J. Ralph,Jason Smilovic,Metro-Goldwyn-Mayer (MGM)
movie-5124,"Gallant Bess",1946,Drama,Andrew Marton,Harry Rapf,Rudolph G. Kopp,Marvin Park,Metro-Goldwyn-Mayer
movie-5125,"Lucy: The Daughter of the Devil",2005,Animation,Loren Bouchard,Loren Bouchard,Loren Bouchard,Loren Bouchard,Adult Swim
movie-5126,"Lud, zbunjen, normalan",2007,Comedy,Elmir Jukic,Nebojsa Garic,Nedim Babovic,Fedja Isovic,Nova TV
movie-5127,"Luftslottet som spr?ngdes",2009,Crime,Daniel Alfredson,Klaus Bassiner,Jacob Groth,Stieg Larsson,Alliance Films
movie-5128,"Lumi?re et compagnie",1995,Documentary,Theodoros Angelopoulos,?ngel Amigo,Jean-Jacques Lem?tre,Philippe Poulet,Pierre Grise Distribution
movie-5129,"Lumumba",2000,Biography,Raoul Peck,Jacques Bidou,Jean-Claude Petit,Pascal Bonitzer,A-Film Distribution
movie-5130,"Luna Papa",1999,Comedy,Bakhtyar Khudojnazarov,Philippe Avril,Daler Nazarov,Bakhtyar Khudojnazarov,Alfa Films
movie-5131,"Luna de Avellaneda",2004,Comedy,Juan Jos? Campanella,Fernando Blanco,?ngel Illarramendi,Juan Jos? Campanella,Distribution Company
movie-5132,"Lung fu fong wan",1987,Action,Ringo Lam,Catherine S.K. Chang,Teddy Robin Kwan,Ringo Lam,Nippon Herald Films
movie-5133,"Lust for Life",1956,Biography,Vincente Minnelli,John Houseman,Mikl?s R?zsa,Norman Corwin,Metro-Goldwyn-Mayer (MGM)
movie-5134,"Luther",2010,Crime,Sam Miller,Idris Elba,Paul Englishby,Neil Cross,BBC Worldwide
movie-5135,"Lymelife",2008,Comedy,Derick Martini,Alec Baldwin,Steven Martini,Derick Martini,Art Free
movie-5136,"Lyubov i golubi",1985,Comedy,Vladimir Menshov,<none>,Valentin Levashov,Vladimir Gurkin,Empresa Hispanoamericana de Video (EHV)
movie-5137,"M*A*S*H",1972,Comedy,Charles S. Dubin,Burt Metcalfe,Johnny Mandel,Larry Gelbart,20th Century Fox Home Entertainment
movie-5138,"M. Butterfly",1993,Drama,David Cronenberg,David Henry Hwang,Howard Shore,David Henry Hwang,Warner Bros.
movie-5139,"MADtv",1995,Comedy,Bruce Leddy,Quincy Jones,Greg O'Connor,Lauren Dombrowski,Fox Television
movie-5140,"M*A*S*H",1972,Comedy,Charles S. Dubin,Burt Metcalfe,Johnny Mandel,Larry Gelbart,20th Century Fox Home Entertainment
movie-5141,"Mask, The",1994,Comedy,Chuck Russell,Ann Burgund,Randy Edelman,Michael Fallon,AMLF
movie-5142,"MP3: Mera Pehla Pehla Pyaar",2007,Drama,Robby Grewal,Maxen Chakalakal,Dhruv Ghanekar,Robby Grewal,Percept Picture Company
movie-5143,"MR 73",2008,Crime,Olivier Marchal,Franck Chorot,Bruno Coulais,Olivier Marchal,Gaumont
movie-5144,"Ma saison pr?f?r?e",1993,Drama,Andr? T?chin?,Alain Sarde,Philippe Sarde,Pascal Bonitzer,AMLF
movie-5145,"Ma vie en rose",1997,Drama,Alain Berliner,Simon Arnal,Dominique Dalcan,Alain Berliner,PolyGram Filmed Entertainment Distribution
movie-5146,"Ma-ma",1977,Family,Elisabeta Bostan,<none>,G?rard Bourgeois,Yury Entin,Centrul National al Cinematografiei (CNC)
movie-5147,"Maachis",1996,Action,Gulzar,R.V. Pandit,Vishal Bhardwaj,Gulzar,Digital Entertainment (DEI)
movie-5148,"Maai hung paak yan",2001,Crime,Ho-Cheung Pang,Raymond Chow,Peter Kam,Vincent Kok,Golden Harvest Company
movie-5149,"Maboroshi no hikari",1995,Drama,Hirokazu Koreeda,Naoe G?zu,Ming-chang Chen,Teru Miyamoto,Bandai Visual Company
movie-5150,"MacGyver",1985,Action,Charles Correll,John Rich,Dennis McCarthy,Lee David Zlotoff,Paramount Television
movie-5151,"Macario",1960,Drama,Roberto Gavald?n,Jos? Luis de Celis,Ra?l Lavista,B. Traven,Azteca Films Inc.
movie-5152,"Machan",2008,Comedy,Uberto Pasolini,Conchita Airoldi,Lakshman Joseph De Saram,Ruwanthie De Chickera,Fidalgo Films
movie-5153,"Machete",2010,Action,Ethan Maniquis,Ashok Amritraj,Chingon,Robert Rodriguez,Hyde Park Entertainment
movie-5154,"Machete Maidens Unleashed!",2010,Documentary,Mark Hartley,Veronica Fury,Jamie Blanks,Mark Hartley,Australian Broadcasting Commission
movie-5155,"Machine Gun Preacher",2011,Action,Marc Forster,Robbie Brenner,Asche & Spencer,Jason Keller,Alliance Films
movie-5156,"Machuca",2004,Biography,Andr?s Wood,Juan Carlos Arriagada,Miguel Miranda,Roberto Brodsky,Artificial Eye
movie-5157,"Mackenna's Gold",1969,Adventure,J. Lee Thompson,Carl Foreman,Quincy Jones,Heck Allen,Columbia Pictures
movie-5158,"Macross Plus",1994,Animation,Sh?ji Kawamori,Isamu Asami,Y?ko Kanno,Sh?ji Kawamori,Canal+
movie-5159,"Macskafog?",1986,Animation,B?la Ternovszky,<none>,Tam?s De?k,J?zsef Nepp,Image Entertainment
movie-5160,"Mad About You",1992,Comedy,David Steinberg,Danny Jacobson,David Kitay,Danny Jacobson,National Broadcasting Company (NBC)
movie-5161,"Mad Dogs",2015,Comedy,Uta Briesewitz,Suzanne Mackie,Robert Duncan,Zev Borow,Amazon Studios
movie-5162,"Mad Hot Ballroom",2005,Documentary,Marilyn Agrelo,Marilyn Agrelo,Joseph Baker,Amy Sewell,Monopole-Path?
movie-5163,"Mad Love",1995,Drama,Antonia Bird,John Landgraf,Andy Roberts,Paula Milne,Buena Vista International
movie-5164,"Mad Max",1979,Action,George Miller,Byron Kennedy,Brian May,James McCausland,Roadshow Entertainment
movie-5165,"Mad Max 2",1981,Action,George Miller,Byron Kennedy,Brian May,Terry Hayes,Warner Bros.
movie-5166,"Mad Max: Fury Road",2015,Action,George Miller,Bruce Berman,Junkie XL,George Miller,Alexandra Films
movie-5167,"Mad Men",2007,Drama,Phil Abraham,Scott Hornbacher,David Carbonara,Matthew Weiner,American Movie Classics (AMC)
movie-5168,"Madadayo",1993,Drama,Akira Kurosawa,Seikichi Iizumi,Shinichir? Ikebe,Ishir? Honda,Les Films du Paradoxe
movie-5169,"Madagascar",2005,Animation,Eric Darnell,Teresa Cheng,Hans Zimmer,Mark Burton,DreamWorks Distribution
movie-5170,"Madagascar 3: Europe's Most Wanted",2012,Animation,Eric Darnell,Holly Edwards,Hans Zimmer,Eric Darnell,B&H Film Distribution
movie-5171,"Madagascar: Escape 2 Africa",2008,Animation,Eric Darnell,Lorne Orleans,Hans Zimmer,Etan Cohen,Paramount Pictures
movie-5172,"Madam Secretary",2014,Drama,Eric Stoltz,Sam Hoffman,Transcenders,Barbara Hall,Columbia Broadcasting System (CBS)
movie-5173,"Madame Bovary",2014,Drama,Sophie Barthes,Sophie Barthes,Evgueni Galperine,Felipe Marino,A Company Hungary
movie-5174,"Madame Curie",1943,Biography,Mervyn LeRoy,Sidney Franklin,Herbert Stothart,Paul Osborn,Metro-Goldwyn-Mayer (MGM)
movie-5175,"Madame Sat?",2002,Biography,Karim A?nouz,Marc Beauchamps,Sacha Amback,Karim A?nouz,Artkino Pictures
movie-5176,"Madame Tutli-Putli",2007,Animation,Chris Lavis,Marcy Page,David Bryant,Chris Lavis,National Film Board of Canada (NFB)
movie-5177,"Madame de...",1953,Drama,Max Oph?ls,Ralph Baum,Oscar Straus,Louise de Vilmorin,Gaumont
movie-5178,"Made in America",1993,Comedy,Richard Benjamin,Rick Bieber,Mark Isham,Marcia Brandwynne,Warner Bros.
movie-5179,"Made in Britain",1982,Crime,Alan Clarke,Patrick Cassavetti,The Exploited,David Leland,Antenne-2 (A2)
movie-5180,"Made in Dagenham",2010,Biography,Nigel Cole,Laurie Borg,David Arnold,William Ivory,ARP S?lection
movie-5181,"Madeo",2009,Crime,Joon-ho Bong,Joon H. Choi,Byung-woo Lee,Joon-ho Bong,Benelux Film Distributors
movie-5182,"Madhumati",1958,Musical,Bimal Roy,Bimal Roy,Salil Choudhury,Ritwik Ghatak,Shemaroo Video Pvt. Ltd.
movie-5183,"Madras Cafe",2013,Action,Shoojit Sircar,John Abraham,Shantanu Moitra,Shubhendu Bhattacharya,Ayngaran Video
movie-5184,"Madrasapattinam",2010,Drama,Vijay,Kalpathi S. Agoram,G.V. Prakash Kumar,Mike Parish,Red Giant Movies
movie-5185,"Madventures",2002,Documentary,Tuomas Milonoff,Riku Rantala,Zarkus Poussa,Tuomas Milonoff,Acht
movie-5186,"Maelstr?m",2000,Drama,Denis Villeneuve,Roger Frappier,Pierre Desrochers,Denis Villeneuve,Odeon Films
movie-5187,"Mafioso",1962,Comedy,Alberto Lattuada,Tonino Cervi,Piero Piccioni,Rafael Azcona,Zenith International Films
movie-5188,"Magadheera",2009,Action,S.S. Rajamouli,Allu Aravind,M.M. Keeravani,Vijayendra Prasad,Blue Sky Cinema
movie-5189,"Magic",1978,Horror,Richard Attenborough,C.O. Erickson,Jerry Goldsmith,William Goldman,Twentieth Century Fox Film Corporation
movie-5190,"Magic & Bird: A Courtship of Rivals",2010,Documentary,Ezra Edelman,Rick Bernstein,Gary Lionelli,Aaron Cohen,Home Box Office (HBO)
movie-5191,"Magic City",2012,Crime,Ed Bianchi,Jennifer Jackson,Daniele Luppi,Mitch Glazer,Starz Entertainment
movie-5192,"Magical Maestro",1952,Family,Tex Avery,Fred Quimby,Scott Bradley,Rich Hogan,Metro-Goldwyn-Mayer (MGM)
movie-5193,"Magnificent Obsession",1954,Drama,Douglas Sirk,Ross Hunter,Frank Skinner,Lloyd C. Douglas,Universal Pictures
movie-5194,"Magnolia",1999,Drama,Paul Thomas Anderson,Paul Thomas Anderson,Jon Brion,Paul Thomas Anderson,Distribution Company
movie-5195,"Magnum Force",1973,Action,Ted Post,Robert Daley,Lalo Schifrin,Harry Julian Fink,Warner Bros.
movie-5196,"Magnum, P.I.",1980,Action,Michael Vejar,Donald P. Bellisario,Mike Post,Donald P. Bellisario,Columbia Broadcasting System (CBS)
movie-5197,"Mahabharat",2013,Animation,Amaan Khan,Dhaval Gada,Rajendra Shiv,Amaan Khan,PVR Pictures
movie-5198,"Mahanagar",1963,Drama,Satyajit Ray,R.D. Bansal,Satyajit Ray,Narendranath Mitra,Les Acacias
movie-5199,"Mahha GoGoGo",1967,Animation,Seitar? Hara,<none>,Nobuyoshi Koshibe,Tatsuo Yoshida,Tatsunoko Production
movie-5200,"Mahi va gorbeh",2013,Drama,Shahram Mokri,Sepehr Seifi,Christophe Rezai,Shahram Mokri,Iranian Independents
movie-5201,"Maho Shojo Madoka Magica",2011,Animation,Tomoyuki Itamura,Hideki Goto,Yuki Kajiura,Gen Urobuchi,Aniplex America
movie-5202,"My Girl",1991,Comedy,Howard Zieff,Joseph M. Caracciolo,James Newton Howard,Laurice Elehwany,Columbia Pictures
movie-5203,"Mai wei",2011,Action,Je-kyu Kang,Je-kyu Kang,Dong-jun Lee,Je-kyu Kang,CJ Entertainment
movie-5204,"Maid Marian and Her Merry Men",1989,Adventure,David Bell,Richard Callanan,David Chilton,Tony Robinson,British Broadcasting Corporation (BBC) Television
movie-5205,"Main Hoon Na",2004,Action,Farah Khan,Sanjiv Chawla,Ranjit Barot,Farah Khan,Eros Multimedia Pvt. Ltd.
movie-5206,"Main Hoon Shahid Afridi",2013,Action,Syed Ali Raza Usama,Shahzad Nasib,Kami,Vasay Chaudhry,ARY Films
movie-5207,"Main Khiladi Tu Anari",1994,Action,Sameer Malkan,Champak Jain,Amar Haldipur,Sachin Bhowmick,Digital Entertainment (DEI)
movie-5208,"Main, Meri Patni... Aur Woh!",2005,Comedy,Chandan Arora,Deven Khote,Mohit Chauhan,Gunjan Joshi,UTV
movie-5209,"Maine Pyar Kiya",1989,Family,Sooraj R. Barjatya,Ajit Kumar Barjatya,Vijay Patil,S.M. Ahale,Digital Entertainment (DEI)
movie-5210,"Majo no takky?bin",2014,Fantasy,Takashi Shimizu,Kiran Bhakta Joshi,Tar? Iwashiro,Eiko Kadono,Toei Company
movie-5211,"Major Crimes",2012,Crime,Steve Robin,James Duff,James S. Levine,James Duff,Turner Network Television (TNT)
movie-5212,"Major Dundee",1965,Adventure,Sam Peckinpah,Jerry Bresler,Daniele Amfitheatrof,Harry Julian Fink,Columbia Pictures
movie-5213,"Major League",1989,Comedy,David S. Ward,Julie Bergman Sender,James Newton Howard,David S. Ward,Paramount Pictures
