Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-1063,"Bitka na Neretvi",1969,Drama,Veljko Bulajic,Steve Previn,Bernard Herrmann,Stevan Bulajic,International Film Company (IFC)
movie-1064,"Bitten",2014,Drama,James Dunnison,Patrick Banister,Todor Kobakov,Kelley Armstrong,Space
movie-1065,"Bitter Moon",1992,Drama,Roman Polanski,Robert Benmussa,Vangelis,Pascal Bruckner,AMLF
movie-1066,"Biutiful",2010,Drama,Alejandro Gonz?lez I??rritu,Fernando Bovaira,Gustavo Santaolalla,Alejandro Gonz?lez I??rritu,A-Film Distribution
movie-1067,"Biyeolhan geori",2006,Action,Ha Yoo,Seoung-Jae Cha,Yeong-wook Jo,Ha Yoo,CJ Entertainment
movie-1068,"Black Adder the Third",1987,Comedy,Mandie Fletcher,John Lloyd,Howard Goodall,Richard Curtis,British Broadcasting Corporation
movie-1069,"Senso '45",2002,Drama,Tinto Brass,Giuseppe Colombo,Ennio Morricone,Camillo Boito,Eagle Pictures
movie-1070,"Black Beauty",1994,Adventure,Caroline Thompson,Peter Macgregor-Scott,Danny Elfman,Anna Sewell,Warner Bros.
movie-1071,"Black Books",2000,Comedy,Martin Dennis,Karen Beever,Jonathan Whitehead,Dylan Moran,Channel 4 Television Corporation
movie-1072,"Black Christmas",1974,Horror,Bob Clark,Gerry Arbeid,Carl Zittrer,Roy Moore,Ambassador Film Distributors
